"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"360","Indonesia","000"," World",2008,302680000,,0,2,5,"","Toothfish (dissostichus spp.) fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302691010,,0,2,15,"","Kerapu (cromilepte altivelis,epinephelu, leoparbus) fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302691090,,0,2,5,"","Other marine fish excl.fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302692010,,0,2,15,"","Tilapia, excl.fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302692090,,0,2,5,"","Other freshwater fish, excl.fillets, livers and roes, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,302700000,,0,2,5,"","Livers & roes of fish, fresh/chilled ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303110000,,0,2,5,"","Sockeye salmon, excl.fillets, livers & roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303190000,,0,2,5,"","Oth pacific salmon, excl.fillet, liver and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303210000,,0,2,5,"","Trout, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303220000,,0,2,5,"","Atlantic & danube salmon, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303290000,,0,2,5,"","Other salmonidae, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303310000,,0,2,5,"","Halibut, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303320000,,0,2,5,"","Plaice, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303330000,,0,2,5,"","Sole, excl.fillets, livers & roes,frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303390000,,0,2,5,"","Oth flat fish, excl.fillets, livers & roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303410000,,0,2,5,"","Albacore/longfinned tunas,excl.fillet, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303420000,,0,2,5,"","Yellow fin tunas, excl.fillet, liver & roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303430000,,0,2,5,"","Skipjack or stripe-bellied bonito, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303440000,,0,2,5,"","Big eye tunas, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303450000,,0,2,5,"","Bluefin tunas, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303460000,,0,2,5,"","Southern bluefin tunas, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303490000,,0,2,5,"","Oth tunas, excl.fillets,livers & roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303510000,,0,2,5,"","Herring clupea harengus,clupea pallasii) ,excl.fillets,livers and roes,frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303520000,,0,2,5,"","Cod (gadus morhua, ogac, macrocephalu) ,excl.fillets,livers and roes,frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303610000,,0,2,5,"","Swordfish (xiphias gladius) ,excl.fillets,livers and roes,frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303620000,,0,2,5,"","Toothfish (dissostichus spp.) ,excl.fillets,livers and roes,frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303710000,,0,2,5,"","Sardines, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303720000,,0,2,5,"","Haddock, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303730000,,0,2,5,"","Coalfish, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303740000,,0,2,5,"","Mackerel, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303750000,,0,2,5,"","Dogfish and other sharks, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303760000,,0,2,5,"","Eels, excl.fillets, livers & roes,frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303770000,,0,2,5,"","Sea bass, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303780000,,0,2,5,"","Hake, excl.fillets, livers & roes,frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303791010,,0,2,15,"","Kerapu(cromilepte altivelis,epinephelus, excl.fillets,livers and roes,frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303791090,,0,2,5,"","Other marine fish, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303792010,,0,2,15,"","Tilapia, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303792090,,0,2,5,"","Other freshwater fish, excl.fillets, livers and roes, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303801000,,0,2,5,"","Livers of fish, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,303802000,,0,2,0,"","Roes of fish, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,304110000,,0,2,15,"","Swordfish (xiphias gladius) fresh or chilled fillets","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,304120000,,0,2,15,"","Toothfish (dissostichus spp.) fresh or chilled fillets","MFN applied duty rates","A",,""
